wish_list_id,user_id,product_id
100001,89750,1
100002,89478,2
100003,16287,3
100004,5439,4
100005,41208,5
100006,73988,6
100007,42462,7
100008,67324,8
100009,19747,9
100010,12888,10
100011,14354,11
100012,41991,12
100013,27903,13
100014,26138,14
100015,68365,15
100016,49288,16
100017,93426,17
100018,90022,18
100019,53592,19
100020,94933,20
100021,2198,21
100022,277,22
100023,17200,23
100024,39593,24
100025,79471,25
100026,59027,26
100027,5152,27
100028,43776,28
100029,70867,29
100030,65636,30
100031,53558,31
100032,89071,32
100033,61405,33
100034,73559,34
100035,87402,35
100036,83609,36
100037,35672,37
100038,48407,38
100039,28142,39
100040,94076,40
100041,90644,41
100042,90878,42
100043,6523,43
100044,85621,44
100045,88064,45
100046,82430,46
100047,31619,47
100048,62116,48
100049,9293,49
100050,5547,50
100051,64596,51
100052,45876,52
100053,66807,53
100054,23605,54
100055,83946,55
100056,72603,56
100057,13553,57
100058,46021,58
100059,42689,59
100060,1642,60
100061,46269,61
100062,43565,62
100063,5290,63
100064,20762,64
100065,64722,65
100066,67299,66
100067,76200,67
100068,11190,68
100069,93469,69
100070,92797,70
100071,3354,71
100072,55632,72
100073,98548,73
100074,82946,74
100075,94893,75
100076,28541,76
100077,30932,77
100078,86148,78
100079,92262,79
100080,27684,80
100081,44293,81
100082,53074,82
100083,12345,83
100084,38131,84
100085,90743,85
100086,3445,86
100087,4122,87
100088,85994,88
100089,68343,89
100090,94739,90
100091,86797,91
100092,77209,92
100093,94060,93
100094,32559,94
100095,35927,95
100096,16213,96
100097,46472,97
100098,92688,98
100099,62332,99
100100,46555,100
