product_id,user_id,category_id,product_name,product_description,value,up_for_trade,public,sold,sold_date,posted_date
1,1,8,BMW 3 Series,Born around defense week we up.,3990,False,False,False,,2017-03-24
2,2,19,Renault Clio,Professor both research.,4645,False,False,True,2018-01-29,2017-03-06
3,3,2,Ford Falcon,Begin describe land group nor.,109,True,True,True,2018-12-18,2017-11-15
4,4,11,Alfa Romeo Alfasud,Teacher recent plan future movement south perhaps.,3154,False,False,True,2018-09-06,2017-07-27
5,5,3,Volkswagen Golf,Example claim collection wall we.,4807,True,True,True,2018-06-24,2017-01-24
6,6,18,Rambler Classic,Song film small wish resource agency near.,4040,False,True,True,2018-10-07,2017-05-31
7,7,16,Mazda Familia,Program board dog art late.,729,True,False,False,,2017-03-29
8,8,19,Ford F-Series,Road level front week and drive.,3107,True,True,True,2018-01-28,2017-04-09
9,9,8,Tesla Model S,Site hundred street beautiful theory.,6695,False,True,True,2018-06-25,2017-06-20
10,10,6,Frazer Standard,President would partner simple meeting.,8119,False,True,True,2018-07-06,2017-10-03
11,11,17,Mercedes-Benz C-Class,Just student different debate fill.,7418,False,False,True,2018-03-15,2017-03-22
12,12,0,Rambler Classic,Half home ball authority.,2765,True,True,True,2018-09-19,2017-04-02
13,13,4,Pontiac Grand Am,Behind member month cause that.,5508,False,True,True,2018-08-10,2017-07-22
14,14,0,Crosley,During compare value population most fine.,9206,False,True,True,2018-03-19,2017-10-20
15,15,16,ZAZ Zaporozhets,Sit current memory green local.,6301,True,True,False,,2017-02-14
16,16,7,ZAZ Zaporozhets,Only soon identify throughout according toward contain.,5348,True,False,True,2018-01-04,2017-07-19
17,17,10,Citroën 2CV,Floor all business good send.,3493,True,False,False,,2017-10-17
18,18,15,Eagle Talon,Dinner defense sense child.,5469,False,False,False,,2017-06-22
19,19,5,Maserati Biturbo,Green still assume everyone true no go.,1562,False,False,True,2018-04-20,2017-11-23
20,20,18,Checker Marathon,North fire certainly skin cultural impact.,4078,True,True,True,2018-02-24,2017-09-13
21,21,18,Ford Falcon,Hair commercial local energy animal southern.,7494,False,False,True,2018-07-29,2017-08-26
22,22,13,Toyota Prius,Without dog important fill past.,8430,False,False,True,2018-10-04,2017-08-31
23,23,3,Toyota Prius,Image think region word agree trouble only.,4681,True,False,True,2018-12-11,2017-12-09
24,24,9,Škoda Octavia,Simple international suffer vote.,2650,False,False,False,,2017-12-21
25,25,9,Chevrolet Impala,Have suggest successful receive ask consumer.,5607,True,False,False,,2017-04-16
26,26,19,Imperial Crown,High plant nation expect.,9444,False,True,True,2018-09-21,2017-04-24
27,27,14,Bugatti Type 40,Put family Republican include whom thank.,2418,False,True,True,2018-04-30,2017-12-04
28,28,4,Cadillac De Ville,Item what day evening market network.,6520,True,False,True,2018-07-23,2017-09-04
29,29,8,Tesla Model S,Relationship chance tree by within speak point name.,5732,True,True,True,2018-08-17,2017-03-22
30,30,5,Rambler Classic,Happen live thus key.,6248,False,True,False,,2017-09-30
31,31,4,AMC Hornet,Lawyer inside their plant imagine door huge would.,6426,False,False,True,2018-05-11,2017-04-02
32,32,10,Crosley,Surface issue same send.,7470,False,False,False,,2017-09-19
33,33,2,Jaguar XJ,Scene those ten kitchen.,5283,True,True,False,,2017-05-07
34,34,12,Opel Corsa,Person our color speak actually account.,5511,True,False,False,,2017-05-28
35,35,9,Nissan Leaf,Art half question financial.,2848,False,True,False,,2017-08-13
36,36,1,Simca 1100,According inside choice interest Congress many.,5296,True,True,False,,2017-02-27
37,37,11,Renault Clio,Never force into if.,5367,False,True,True,2018-08-29,2017-09-09
38,38,8,De Tomaso Pantera,Life become in company adult wide.,5402,True,False,True,2018-07-27,2017-01-14
39,39,16,Imperial Crown,However performance sell capital her beautiful.,8770,False,False,True,2018-02-11,2017-09-10
40,40,18,Plymouth Fury,Product month improve carry more staff result.,8241,False,False,False,,2017-08-09
41,41,5,Renault Symbol,Administration step city fill fish east.,5043,False,False,False,,2017-08-17
42,42,13,Perodua Myvi,Drive process series may ago dream gun reduce.,8552,False,True,False,,2017-08-19
43,43,13,Hindustan Ambassador,Any hospital your fill write.,2441,False,True,False,,2017-10-29
44,44,5,Saab 900,Find huge sit past all.,7478,False,False,False,,2017-12-14
45,45,19,Hudson Super,Him under she despite challenge.,8845,False,False,False,,2017-09-17
46,46,13,Subaru Legacy,Base tend goal compare bar.,6424,True,True,False,,2017-12-31
47,47,8,Zaporozhets,Across go sport bill.,6127,False,False,True,2018-12-06,2017-10-05
48,48,15,BMW 3 Series,Policy south question pretty thousand lose.,8599,True,True,False,,2017-01-15
49,49,2,SEAT Ibiza,Eye field every themselves agree.,6830,False,False,True,2018-07-14,2017-01-27
50,50,7,Aston Martin DB7,Attorney cold perform interview hot thus both.,4458,True,True,True,2018-07-28,2017-04-25
51,51,0,Ford F-Series,System these better hundred very later movie.,3968,True,True,False,,2017-02-21
52,52,17,Fiat Uno,Weight wear bad letter argue something positive.,9218,True,False,True,2018-09-02,2017-01-21
53,53,18,Nissan Z-cars,Art down sing.,3504,False,True,True,2018-08-30,2017-12-09
54,54,12,Continental Mark II,Crime I whole seat PM bed it.,7174,False,False,False,,2017-08-20
55,55,13,Citroën 2CV,Near college thus another loss change.,7129,False,True,False,,2017-05-29
