product_id,user_id,category_id,product_name,value,up_for_trade,public
1,1,50,Henry J Deluxe,4002,True,True
2,2,66,Mercedes-Benz C-Class,8627,False,True
3,3,47,Kaiser Deluxe,5775,True,False
4,4,85,Perodua Myvi,4647,False,True
5,5,31,Jaguar XJ,4291,True,True
6,6,77,Trabant,3275,False,False
7,7,55,Plymouth Fury,6325,True,False
8,8,31,Jaguar XJ,4603,True,False
9,9,58,Cadillac De Ville,3051,True,False
10,10,48,Holden Commodore,9257,True,True
11,11,33,Trabant,4820,False,False
12,12,91,Willys 77,1321,False,True
13,13,11,Peugeot 206,191,False,True
14,14,2,Ford F-Series,7070,False,True
15,15,17,Plymouth Fury,6808,False,True
16,16,45,Perodua Myvi,7177,True,False
17,17,17,Checker Marathon,2103,False,False
18,18,90,Imperial Crown,3366,False,True
19,19,65,DeSoto Custom,3530,True,False
20,20,72,Tesla Model S,9083,False,True
21,21,33,Imperial Crown,582,False,False
22,22,9,Nissan Leaf,9734,False,False
23,23,79,Ford Model T,3352,False,False
24,24,85,Rolls-Royce Silver Shadow,6970,False,True
25,25,88,Škoda Octavia,2604,False,False
26,26,90,Lada Riva,5615,False,True
27,27,23,Oldsmobile Cutlass,4648,True,False
28,28,6,Volkswagen Type 2,6884,False,False
29,29,27,Toyota Corolla,1009,False,True
30,30,1,Willys 77,4503,True,True
31,31,4,Lada Riva,6433,True,False
32,32,51,Volkswagen Golf,8511,False,False
33,33,89,Nissan Leaf,7569,True,False
34,34,29,Alfa Romeo Alfasud,5546,False,True
35,35,60,Mazda MX-5,4235,False,True
36,36,58,Toyota Corolla,7218,True,True
37,37,40,Packard Eight,6539,True,False
38,38,43,Packard Eight,1132,False,True
39,39,49,Pontiac Grand Am,9242,True,True
40,40,1,Crosley,7055,False,False
41,41,78,Trabant,3355,False,False
42,42,97,Hudson Super,6234,False,False
43,43,52,Hindustan Ambassador,7834,False,True
44,44,94,Smart Fortwo,2803,False,False
45,45,89,Bugatti Type 40,1875,False,True
46,46,91,Koenigsegg CCX,5979,True,False
47,47,8,Renault Clio,7156,True,False
48,48,72,Series/Defender,7396,False,True
49,49,32,Trabant,6959,True,True
50,50,56,Rolls-Royce Silver Shadow,4507,True,True
51,51,27,Ferrari 360,9009,False,False
52,52,76,Renault Clio,1792,True,True
